time,base_joint,base_arm1_joint,arm1_elbow_joint,elbow_arm2_joint,arm2_wrist_joint,wrist_tool_joint,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.199882339,0.170242462299,1.0155430789e-05,-1.22601021581e-06,-6.19696623828e-06,-1.01518642885e-05,-6.36998832104e-06,
0.282376637,0.275049842139,1.64074790604e-05,-1.98078617851e-06,-1.00120414294e-05,-1.6401716894e-05,-1.02915821262e-05,
0.346703088,0.335755707813,2.00287507984e-05,-2.41796272349e-06,-1.22217850795e-05,-2.00217168724e-05,-1.25630228123e-05,
0.401562052,0.38540881301,2.29906949954e-05,-2.77554222155e-06,-1.40291991193e-05,-2.29826208598e-05,-1.44209006645e-05,
0.450246598,0.427521304923,2.55028208846e-05,-3.07881758894e-06,-1.55621286075e-05,-2.54938645119e-05,-1.5996630233e-05,
0.494760817,0.467573754953,2.78920596133e-05,-3.3672574543e-06,-1.70200708696e-05,-2.78822641604e-05,-1.74952788984e-05,
0.53546194,0.503522261577,3.00364868382e-05,-3.62614255129e-06,-1.83286262021e-05,-3.00259382808e-05,-1.8840369684e-05,
0.573804239,0.537251275019,3.20485151946e-05,-3.86904384919e-06,-1.95563901497e-05,-3.203726003e-05,-2.01024133528e-05,
0.609566793,0.570133735653,3.40100443491e-05,-4.10584865166e-06,-2.07533388758e-05,-3.39981003122e-05,-2.13327814253e-05,
0.643593637,0.596176091949,3.55635424798e-05,-4.29339407618e-06,-2.17013021545e-05,-3.55510528677e-05,-2.23072122648e-05,
0.676292765,0.623546870144,3.71962846279e-05,-4.4905062022e-06,-2.26976210875e-05,-3.71832216107e-05,-2.33313488703e-05,
0.707404863,0.648736917098,3.86989401638e-05,-4.67191367531e-06,-2.36145596022e-05,-3.86853494268e-05,-2.42738887204e-05,
0.737601959,0.668394294423,3.98715567497e-05,-4.81347733158e-06,-2.43301043727e-05,-3.98575541998e-05,-2.50094118225e-05,
0.766910963,0.688647309938,4.10797047908e-05,-4.95933050821e-06,-2.50673308653e-05,-4.10652779496e-05,-2.57672220102e-05,
0.795357993,0.705949145371,4.21118068286e-05,-5.08393060331e-06,-2.56971319654e-05,-4.2097017522e-05,-2.641460744e-05,
0.823244505,0.720138723193,4.29582541458e-05,-5.18611760844e-06,-2.62136443179e-05,-4.29431675742e-05,-2.69455410496e-05,
0.850581542,0.734613511529,4.38217150542e-05,-5.29035857237e-06,-2.67405385686e-05,-4.38063252424e-05,-2.74871464247e-05,
0.877379931,0.749379243111,4.47025315267e-05,-5.39669477967e-06,-2.72780233939e-05,-4.46868323798e-05,-2.80396380678e-05,
0.903650287,0.764441765897,4.56010524104e-05,-5.50516834474e-06,-2.78263116641e-05,-4.55850377106e-05,-2.8603234793e-05,
0.929403012,0.779807045392,4.65176335639e-05,-5.61582222847e-06,-2.83856205285e-05,-4.65012969686e-05,-2.91781598123e-05,
0.954648307,0.795481167004,4.74526379985e-05,-5.72870025526e-06,-2.89561715012e-05,-4.74359730377e-05,-2.97646408246e-05,
0.97939617,0.815568060813,4.86508764232e-05,-5.87335709751e-06,-2.96873510264e-05,-4.86337906513e-05,-3.05162352108e-05,
1.003416202,0.831878614616,4.96238457872e-05,-5.99081842483e-06,-3.02810686564e-05,-4.96064183168e-05,-3.11265297039e-05,
1.027198412,0.840197400762,5.01200842451e-05,-6.05072660908e-06,-3.0583879343e-05,-5.01024825e-05,-3.1437795001e-05,
1.050745155,0.84859937477,5.06212850876e-05,-6.11123387517e-06,-3.08897181364e-05,-5.0603507325e-05,-3.1752172951e-05,
1.074058761,0.857085368517,5.11274979384e-05,-6.17234621393e-06,-3.11986153178e-05,-5.11095423982e-05,-3.20696946805e-05,
1.09714154,0.865656222203,5.16387729178e-05,-6.23406967606e-06,-3.1510601471e-05,-5.16206378222e-05,-3.23903916273e-05,
1.119995776,0.874312784425,5.2155160647e-05,-6.29641037283e-06,-3.18257074857e-05,-5.21368442004e-05,-3.27142955436e-05,
1.142623733,0.883055912269,5.26767122535e-05,-6.35937447655e-06,-3.21439645606e-05,-5.26582126424e-05,-3.3041438499e-05,
1.16502765,0.891886471391,5.3203479376e-05,-6.42296822132e-06,-3.24654042062e-05,-5.31847947689e-05,-3.3371852884e-05,
1.187209747,0.900805336105,5.37355141698e-05,-6.48719790353e-06,-3.27900582482e-05,-5.37166427165e-05,-3.37055714128e-05,
1.209172219,0.909813389466,5.42728693115e-05,-6.55206988257e-06,-3.31179588307e-05,-5.42538091437e-05,-3.4042627127e-05,
1.23091724,0.918911523361,5.48155980046e-05,-6.61759058139e-06,-3.3449138419e-05,-5.47963472351e-05,-3.43830533982e-05,
1.252446965,0.928100638595,5.53637539846e-05,-6.68376648721e-06,-3.37836298032e-05,-5.53443107075e-05,-3.47268839322e-05,
1.273763524,0.937381644981,5.59173915245e-05,-6.75060415208e-06,-3.41214661012e-05,-5.58977538146e-05,-3.50741527715e-05,
1.294869027,0.94675546143,5.64765654397e-05,-6.8181101936e-06,-3.44626807622e-05,-5.64567313527e-05,-3.54248942992e-05,
1.315765566,0.956223016045,5.70413310941e-05,-6.88629129554e-06,-3.48073075699e-05,-5.70212986662e-05,-3.57791432422e-05,
1.336455208,0.965785246205,5.7611744405e-05,-6.95515420849e-06,-3.51553806456e-05,-5.75915116529e-05,-3.61369346747e-05,
1.356940002,0.975443098667,5.81878618491e-05,-7.02470575058e-06,-3.5506934452e-05,-5.81674267694e-05,-3.64983040214e-05,
1.377221976,0.975443098667,5.81878618491e-05,-7.02470575058e-06,-3.5506934452e-05,-5.81674267694e-05,-3.64983040214e-05,
1.39770677,0.965785246205,5.7611744405e-05,-6.95515420849e-06,-3.51553806456e-05,-5.75915116529e-05,-3.61369346747e-05,
1.418396412,0.956223016045,5.70413310941e-05,-6.88629129554e-06,-3.48073075699e-05,-5.70212986662e-05,-3.57791432422e-05,
1.439292951,0.94675546143,5.64765654397e-05,-6.8181101936e-06,-3.44626807622e-05,-5.64567313527e-05,-3.54248942992e-05,
1.460398454,0.937381644981,5.59173915245e-05,-6.75060415208e-06,-3.41214661012e-05,-5.58977538146e-05,-3.50741527715e-05,
1.481715013,0.928100638595,5.53637539846e-05,-6.68376648721e-06,-3.37836298032e-05,-5.53443107075e-05,-3.47268839322e-05,
1.503244738,0.918911523361,5.48155980046e-05,-6.61759058139e-06,-3.3449138419e-05,-5.47963472351e-05,-3.43830533982e-05,
1.524989759,0.909813389466,5.42728693115e-05,-6.55206988257e-06,-3.31179588307e-05,-5.42538091437e-05,-3.4042627127e-05,
1.546952231,0.900805336105,5.37355141698e-05,-6.48719790353e-06,-3.27900582482e-05,-5.37166427165e-05,-3.37055714128e-05,
1.569134328,0.891886471391,5.3203479376e-05,-6.42296822132e-06,-3.24654042062e-05,-5.31847947689e-05,-3.3371852884e-05,
