time,base_joint,base_arm1_joint,arm1_elbow_joint,elbow_arm2_joint,arm2_wrist_joint,wrist_tool_joint,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.199882339,0.0198823392784,1.18603618474e-06,-1.43183731839e-07,-7.23733571417e-07,-1.18561965897e-06,-7.43940538031e-07,
0.282376637,0.0397646785569,2.37207236947e-06,-2.86367463679e-07,-1.44746714283e-06,-2.37123931793e-06,-1.48788107606e-06,
0.346703088,0.0596470178353,3.55810855421e-06,-4.29551195518e-07,-2.17120071425e-06,-3.5568589769e-06,-2.23182161409e-06,
0.401562052,0.0795293571138,4.74414473895e-06,-5.72734927358e-07,-2.89493428567e-06,-4.74247863587e-06,-2.97576215212e-06,
0.450246598,0.0994116963922,5.93018092368e-06,-7.15918659197e-07,-3.61866785708e-06,-5.92809829484e-06,-3.71970269016e-06,
0.494760817,0.119294035671,7.11621710842e-06,-8.59102391037e-07,-4.3424014285e-06,-7.1137179538e-06,-4.46364322819e-06,
0.53546194,0.139176374949,8.30225329316e-06,-1.00228612288e-06,-5.06613499992e-06,-8.29933761277e-06,-5.20758376622e-06,
0.573804239,0.159058714228,9.48828947789e-06,-1.14546985472e-06,-5.78986857134e-06,-9.48495727174e-06,-5.95152430425e-06,
0.609566793,0.178941053506,1.06743256626e-05,-1.28865358655e-06,-6.51360214275e-06,-1.06705769307e-05,-6.69546484228e-06,
0.643593637,0.198823392784,1.18603618474e-05,-1.43183731839e-06,-7.23733571417e-06,-1.18561965897e-05,-7.43940538031e-06,
0.676292765,0.218705732063,1.30463980321e-05,-1.57502105023e-06,-7.96106928559e-06,-1.30418162486e-05,-8.18334591834e-06,
0.707404863,0.238588071341,1.42324342168e-05,-1.71820478207e-06,-8.684802857e-06,-1.42274359076e-05,-8.92728645637e-06,
0.737601959,0.25847041062,1.54184704016e-05,-1.86138851391e-06,-9.40853642842e-06,-1.54130555666e-05,-9.67122699441e-06,
0.766910963,0.278352749898,1.66045065863e-05,-2.00457224575e-06,-1.01322699998e-05,-1.65986752255e-05,-1.04151675324e-05,
0.795357993,0.298235089177,1.7790542771e-05,-2.14775597759e-06,-1.08560035713e-05,-1.77842948845e-05,-1.11591080705e-05,
